County,2020,2021,2022,2023,2024
New York,"20,105,171","19,848,276","19,703,747","19,737,367","19,867,248"
".Albany County, New York","314,024","316,817","316,287","318,000","319,964"
".Allegany County, New York","47,358","46,962","46,850","47,327","47,299"
".Bronx County, New York","1,459,323","1,420,392","1,384,189","1,375,266","1,384,724"
".Broome County, New York","198,172","198,596","197,340","196,383","196,397"
".Cattaraugus County, New York","76,983","76,551","76,036","75,680","75,475"
".Cayuga County, New York","76,151","75,457","74,758","74,575","74,567"
".Chautauqua County, New York","127,370","126,192","125,310","124,742","124,105"
".Chemung County, New York","83,677","83,064","81,598","81,279","81,115"
".Chenango County, New York","47,079","46,572","46,301","45,875","45,776"
".Clinton County, New York","79,715","79,018","77,978","77,883","77,871"
".Columbia County, New York","61,419","61,977","61,187","60,616","60,299"
".Cortland County, New York","46,751","46,443","46,133","45,957","45,945"
".Delaware County, New York","44,230","44,730","44,769","44,514","44,191"
".Dutchess County, New York","295,913","298,816","298,186","298,224","299,963"
".Erie County, New York","952,353","953,023","948,745","948,386","950,602"
".Essex County, New York","37,288","37,246","36,788","36,796","36,744"
".Franklin County, New York","47,248","46,797","46,072","46,276","47,086"
".Fulton County, New York","53,111","52,751","52,245","52,253","52,073"
".Genesee County, New York","58,315","57,902","57,482","57,634","57,604"
".Greene County, New York","47,761","47,898","47,388","47,096","46,903"
".Hamilton County, New York","5,070","5,114","5,108","5,070","5,082"
".Herkimer County, New York","60,031","60,020","59,576","59,571","59,585"
".Jefferson County, New York","116,071","116,925","115,487","113,575","113,140"
".Kings County, New York","2,716,455","2,634,268","2,596,607","2,592,937","2,617,631"
".Lewis County, New York","26,557","26,721","26,602","26,584","26,570"
".Livingston County, New York","61,596","61,698","61,385","61,248","61,561"
".Madison County, New York","67,951","67,402","67,062","67,152","67,072"
".Monroe County, New York","757,747","756,089","751,827","750,901","752,202"
".Montgomery County, New York","49,487","49,490","49,434","49,580","49,648"
".Nassau County, New York","1,390,584","1,392,058","1,386,825","1,386,052","1,392,438"
".New York County, New York","1,679,602","1,576,787","1,597,103","1,633,229","1,660,664"
".Niagara County, New York","212,133","211,754","210,466","209,684","209,570"
".Oneida County, New York","231,103","229,660","228,502","228,010","228,347"
".Onondaga County, New York","474,218","471,959","470,432","469,226","469,812"
".Ontario County, New York","112,350","112,648","112,509","112,605","113,012"
".Orange County, New York","400,997","405,214","406,677","408,427","411,767"
".Orleans County, New York","40,069","39,566","39,329","39,390","39,686"
".Oswego County, New York","117,450","118,010","118,110","117,889","118,305"
".Otsego County, New York","58,366","60,722","60,408","60,519","60,524"
".Putnam County, New York","97,628","98,235","98,274","97,988","98,409"
".Queens County, New York","2,389,813","2,328,286","2,285,640","2,294,682","2,316,841"
".Rensselaer County, New York","160,888","160,645","159,530","159,846","160,749"
".Richmond County, New York","495,113","494,039","492,640","494,774","498,212"
".Rockland County, New York","337,378","339,828","340,756","343,310","348,144"
".St. Lawrence County, New York","108,327","107,835","107,043","106,727","106,198"
".Saratoga County, New York","235,811","237,885","238,491","238,873","240,360"
".Schenectady County, New York","159,294","160,066","159,846","160,378","162,261"
".Schoharie County, New York","29,761","30,144","30,062","30,126","30,151"
".Schuyler County, New York","17,861","17,789","17,591","17,446","17,121"
".Seneca County, New York","33,512","33,411","32,610","32,416","32,650"
".Steuben County, New York","93,321","93,099","92,420","92,087","92,015"
".Suffolk County, New York","1,522,175","1,534,053","1,529,565","1,529,029","1,535,909"
".Sullivan County, New York","78,465","79,731","79,768","80,190","80,450"
".Tioga County, New York","48,354","48,090","47,708","47,593","47,574"
".Tompkins County, New York","99,778","105,974","105,827","105,505","105,602"
".Ulster County, New York","181,277","183,487","182,357","182,906","182,977"
".Warren County, New York","65,608","65,734","65,448","65,508","65,288"
".Washington County, New York","61,106","60,871","60,764","60,032","59,839"
".Wayne County, New York","91,213","91,173","90,831","90,671","90,757"
".Westchester County, New York","1,001,489","1,000,036","993,488","996,926","1,006,447"
".Wyoming County, New York","40,201","39,916","39,528","39,530","39,588"
".Yates County, New York","24,720","24,640","24,469","24,413","24,387"
